Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
HPQ_yfinance,H,-999,0,H,0
HRL_yfinance,H,-999,0,H,0
HSCEI-DIV,Z,-250,-1,Z,22
HSIC_yfinance,H,-999,0,H,0
HST_yfinance,H,-999,0,H,0
HSY_yfinance,H,-999,0,H,0
HUBB_yfinance,H,-999,0,H,0
HUF,HMUZ,-5,1,HMUZ,22
HUFEUR,HMUZ,-5,1,HMUZ,19
HUM_yfinance,H,-999,0,H,0
HWM_yfinance,H,-999,0,H,0
IBEX,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,15
IBEX_mini,FGHJKMNQUVXZ,-10,1,FGHJKMNQUVXZ,15
IBKR_yfinance,H,-999,0,H,0
IBM_yfinance,H,-999,0,H,0
ICE_yfinance,H,-999,0,H,0
